Question,Option A,Option B,Option C,Option D,Correct Answer,,
What color are tennis balls?,White,Red,Yellow,Green,Yellow,,
Who was the youngest Wimbledon winner?,Federer,Hingis,Becker,Gauff,Becker,,
Which city hosts the French Open?,Madrid,Paris,Rome,Lyon,Paris,,
Which stroke is usually used to start a point?,Volley,Backhand,Smash,Serve,Serve,,
Who is the Swiss tennis legend?,Borg,Federer,Nadal,Wawrinka,Federer,,
What is the name of the ATP year-end tournament?,Grand Finale,ATP Finals,Masters Series,Tour Trophy,ATP Finals,,
Which tennis player is nicknamed “The Joker”?,Djokovic,Kyrgios,Medvedev,Fognini,Djokovic,,
What is a score of 40-40 called?,Tie,Match point,Deuce,Set point,Deuce,,
Which tennis term means zero?,Love,Nil,Blank,Void,Love,,
How many points to win a tiebreak?,5,6,7,8,7,,
Who won the men’s singles at Roland Garros 2021?,Nadal,Thiem,Djokovic,Tsitsipas,Djokovic,,
Who has the fastest recorded serve in tennis?,Karlovic,Isner,Kyrgios,Sam Groth,Sam Groth,,
What is Roger Federer’s nationality?,German,Austrian,Swiss,Dutch,Swiss,,
Which female player dominated the 2000s?,Venus Williams,Sharapova,Serena Williams,Hingis,Serena Williams,,
Who is known for underarm serves?,Kyrgios,Zverev,Djokovic,Berrettini,Kyrgios,,
What is the name of the net judge device?,HawkEye,LineBot,VAR,TrackJudge,HawkEye,,
Which player is famous for grunting?,Federer,Monica Seles,McEnroe,Nishikori,Monica Seles,,
What nationality is Iga Swiatek?,Russian,Ukrainian,Polish,Czech,Polish,,
How many sets are in a Grand Slam men's match?,3,4,5,2,5,,
What is the Davis Cup?,Individual trophy,Olympic event,Team tournament,Junior prize,Team tournament,,
Who won the gold medal in tennis in Tokyo 2020?,Zverev,Djokovic,Berrettini,Medvedev,Zverev,,
Which country hosts the ATP Finals since 2021?,Italy,UK,France,Spain,Italy,,
Which tennis stroke is done with opposite hand?,Serve,Forehand,Backhand,Smash,Backhand,,
What’s a double fault?,Two successful serves,Two missed serves,Two aces,Two returns missed,Two missed serves,,
What is “break point”?,Game point,Set point,Chance to break serve,Match point,Chance to break serve,,
Who won the most Australian Open titles (men)?,Djokovic,Federer,Hewitt,Nadal,Djokovic,,
Who is the father of modern tennis?,Fred Perry,Rene Lacoste,Walter Clopton Wingfield,Bill Tilden,Walter Clopton Wingfield,,
What’s the standard width of a tennis court?,7.5m,8.23m,9.14m,10m,8.23m,,
Which British woman won US Open 2021?,Raducanu,Watson,Kontaveit,Boulter,Raducanu,,
Which tennis star has a candy brand?,Federer,Murray,Osaka,Nadal,Nadal,,
Which Grand Slam occurs first each year?,French Open,US Open,Australian Open,Wimbledon,Australian Open,,
Which player was known for temper outbursts?,Lendl,Becker,McEnroe,Agassi,McEnroe,,
Who is the coach of Serena Williams?,Lendl,Mouratoglou,Becker,Navratilova,Mouratoglou,,
Who is known as the “Ice Man”?,Federer,Borg,Sampras,Nadal,Borg,,
Which female player is from Japan?,Sabalenka,Swiatek,Osaka,Pliskova,Osaka,,
Who was the first man to win 20 Grand Slams?,Federer,Djokovic,Nadal,Lendl,Federer,,
Which nation has most Davis Cup titles?,USA,France,Spain,UK,USA,,
Who invented the two-handed backhand?,Borg,Connors,Agassi,Budge,Connors,,
What is the net height at center?,1.07m,0.91m,1m,0.88m,0.91m,,
Who is the Italian tennis player in top 10 (2023)?,Berrettini,Sinner,Fognini,Seppi,Sinner,,
What is Naomi Osaka’s heritage?,Haitian-Japanese,Korean-Chinese,Filipino-Japanese,Thai-American,Haitian-Japanese,,
Who was the youngest No.1 ranked male?,Boris Becker,Hewitt,Federer,Chang,Hewitt,,
Which female tennis player won Olympic gold in 2012?,Serena,Wozniacki,Radwanska,Kvitova,Serena,,
Which tournament awards the Musketeers' Cup?,Australian Open,French Open,Wimbledon,US Open,French Open,,
Who did Federer beat in 2009 French Open final?,Söderling,Nadal,Del Potro,Djokovic,Söderling,,
Which country has the most clay courts?,France,Spain,USA,Argentina,Spain,,
What is the nickname of Rafael Nadal?,El Mago,The King,The Bull of Manacor,The Clay Dragon,The Bull of Manacor,,
"Who is known as ""His Airness""?",Kobe Bryant,LeBron James,Michael Jordan,Stephen Curry,Michael Jordan,,
Which team has the most NBA championships?,Chicago Bulls,Boston Celtics,Miami Heat,Golden State Warriors,Boston Celtics,,
How many players are on a basketball team on court?,4,5,6,7,5,,
What is the diameter of a basketball hoop in inches?,15,16,18,20,18,,
Which player is famous for the skyhook shot?,Shaquille O'Neal,Kareem Abdul-Jabbar,Tim Duncan,Dirk Nowitzki,Kareem Abdul-Jabbar,,
Which team drafted Kobe Bryant?,Chicago Bulls,Charlotte Hornets,LA Lakers,Miami Heat,Charlotte Hornets,,
What does NBA stand for?,National Basketball Academy,National Basketball Association,North Basketball Alliance,National Ball Association,National Basketball Association,,
Who won MVP in the 2022–23 NBA season?,Nikola Jokic,Giannis Antetokounmpo,Joel Embiid,Luka Doncic,Joel Embiid,,
What is the height of a basketball hoop?,8ft,9ft,10ft,11ft,10ft,,
Which country won Olympic gold in basketball 2021?,France,USA,Spain,Argentina,USA,,
Who holds the NBA all-time scoring record?,Kobe Bryant,Karl Malone,LeBron James,Michael Jordan,LeBron James,,
Which position handles the ball the most?,Shooting guard,Point guard,Center,Power forward,Point guard,,
Which team is based in Toronto?,Knicks,Nets,Raptors,Celtics,Raptors,,
"Who is known as ""The Greek Freak""?",Doncic,Giannis Antetokounmpo,Jokic,Dragic,Giannis Antetokounmpo,,
Who won the 2023 NBA Finals?,Warriors,Celtics,Heat,Nuggets,Nuggets,,
Which NBA team plays at Madison Square Garden?,Lakers,Knicks,Bulls,Celtics,Knicks,,
Who was the first woman in the Basketball Hall of Fame?,Lisa Leslie,Sheryl Swoopes,Ann Meyers,Nancy Lieberman,Nancy Lieberman,,
What is a triple-double?,10+ pts/reb/assists,3 threes,3 fouls,3 blocks,10+ pts/reb/assists,,
Which college did Michael Jordan attend?,Duke,UCLA,North Carolina,Kansas,North Carolina,,
How long is an NBA quarter?,10 mins,12 mins,15 mins,8 mins,12 mins,,
What is a dunk?,Bounce shot,Backboard shot,Overhand shot,Forceful slam into basket,Forceful slam into basket,,
Who was known as “Black Mamba”?,Shaq,Kobe Bryant,Allen Iverson,Jordan,Kobe Bryant,,
Which NBA team has purple and gold colors?,Bulls,Lakers,Warriors,Celtics,Lakers,,
What does FIBA stand for?,Federation of Intl Basketball Associations,Free International Ball Association,Foreign Int’l Basketball Admin,Federation Int’l Baller Association,Federation of Intl Basketball Associations,,
Which country does Luka Dončić represent?,Slovenia,Serbia,Croatia,Spain,Slovenia,,
Who won WNBA MVP in 2023?,A'ja Wilson,Breanna Stewart,Candace Parker,Nneka Ogwumike,Breanna Stewart,,
Who was the tallest NBA player?,Manute Bol,Shaq,Yao Ming,Gheorghe Mureșan,Gheorghe Mureșan,,
Which NBA legend was nicknamed “The Mailman”?,Stockton,Jordan,Malone,Robinson,Malone,,
How many points is a 3-point shot worth?,2,3,4,1,3,,
What is the NBA Draft?,Playoff match,Awards show,Player selection event,Finals series,Player selection event,,
Who was Shaquille O'Neal’s teammate in Miami?,Jordan,Dwyane Wade,LeBron James,Kobe,Dwyane Wade,,
Which player won NBA titles with 3 teams?,LeBron James,Curry,Durant,Ginobili,LeBron James,,
What’s the violation of holding the ball too long?,Traveling,Shot clock violation,Backcourt,Double dribble,Shot clock violation,,
Who is the all-time NBA assist leader?,Magic Johnson,Stockton,Nash,Paul,Stockton,,
Which city hosted the 2023 All-Star Game?,Chicago,Utah,Miami,LA,Utah,,
Who was the shortest NBA player?,Spud Webb,Muggsy Bogues,Allen Iverson,Isaiah Thomas,Muggsy Bogues,,
Which WNBA team is based in Las Vegas?,Liberty,Sparks,Aces,Storm,Aces,,
What is “March Madness”?,NBA playoffs,WNBA season,NCAA tournament,Training camp,NCAA tournament,,
How many personal fouls before fouling out?,4,5,6,7,6,,
Who was known for the “no-look pass”?,Stockton,Magic Johnson,Bird,Harden,Magic Johnson,,
What is a backboard?,Court line,Hoop support,Scoring board,Glass behind hoop,Glass behind hoop,,
Which African player dominated in the 1990s?,Mutombo,Olajuwon,Mbah a Moute,Siakam,Olajuwon,,
What is LeBron James’s jersey number (2023)?,23,6,24,11,23,,
What’s the half-court line used for?,Timeout,Backcourt violation,Defense mark,End of game,Backcourt violation,,
Who won NBA Most Improved Player in 2023?,Brunson,Haliburton,Markkanen,Quickley,Markkanen,,
Which coach has most NBA titles?,Pat Riley,Gregg Popovich,Phil Jackson,Steve Kerr,Phil Jackson,,
How many seconds on shot clock in NBA?,24,30,35,20,24,,
"Which team is nicknamed ""The Dubs""?",Lakers,Bulls,Warriors,Celtics,Warriors,,
Who won the first ever NBA title?,Lakers,Celtics,Warriors,Philadelphia Warriors,Philadelphia Warriors,,
"Which NBA star starred in ""Space Jam 2""?",Jordan,Curry,Kobe,LeBron James,LeBron James,,
Who scored 100 points in a single game?,Wilt Chamberlain,Jordan,Kobe,O'Neal,Wilt Chamberlain,,
Which NBA star is known for deep 3-point shots?,Klay Thompson,Curry,Durant,Trae Young,Curry,,
What is the paint area called?,Key,Lane,Block,All of the above,All of the above,,
Which NBA team relocated from Seattle?,Warriors,Thunder,Nuggets,Spurs,Thunder,,
What’s a “buzzer beater”?,Start shot,Timeout shot,Shot before halftime,Last-second basket,Last-second basket,,
What is a double-double?,2 points & 2 assists,10+ in 2 stats,2 dunks,2 steals,10+ in 2 stats,,
Who won EuroBasket 2022?,France,Spain,Germany,Lithuania,Spain,,
Which league is under NBA?,D-League,B-League,G-League,Z-League,G-League,,
What team has a green clover logo?,Heat,Celtics,Bucks,Hornets,Celtics,,
Which team does Stephen Curry play for?,Lakers,Knicks,Nuggets,Warriors,Warriors,,
Who holds record for most 3-pointers?,Klay,Reggie Miller,Damian Lillard,Stephen Curry,Stephen Curry,,
Which NBA team is based in Chicago?,Knicks,Bulls,Celtics,76ers,Bulls,,
What’s the violation of walking without dribbling?,Backcourt,Traveling,Charging,Double dribble,Traveling,,
Who is the tallest current NBA player?,Tacko Fall,Boban Marjanović,Victor Wembanyama,Porzingis,Victor Wembanyama,,
Which coach won titles with Bulls & Lakers?,Kerr,Rivers,Jackson,Popovich,Jackson,,
Which team won NBA Bubble Championship?,Heat,Bucks,Lakers,Celtics,Lakers,,
Which country dominates table tennis globally?,China,USA,France,Brazil,China,,
What is the maximum score to win a game in table tennis?,11,15,21,25,11,,
How many serves does each player get in table tennis?,1,2,3,4,2,,
What material is the table tennis ball made of?,Rubber,Plastic,Wood,Glass,Plastic,,
What is the official name of table tennis?,Ping pong,Net tennis,Table smash,Table tennis,Table tennis,,
Which organization governs table tennis?,ITTF,FIFA,ATP,FIBA,ITTF,,
Who is the most decorated male table tennis player?,Timo Boll,Ma Long,Fan Zhendong,Zhang Jike,Ma Long,,
How wide is a table tennis table?,1.25m,1.525m,1.75m,2.0m,1.525m,,
Which stroke is used to start play?,Smash,Backhand,Serve,Drive,Serve,,
What is a rally in table tennis?,Score point,Shot spin,Continuous play,Fast serve,Continuous play,,
How high must the ball be tossed on a serve?,4 cm,6 cm,10 cm,16 cm,16 cm,,
What is it called when ball touches net on serve?,Spin,Let,Push,Block,Let,,
What is the diameter of a table tennis ball?,30mm,40mm,45mm,50mm,40mm,,
What surface is used for professional tables?,Glass,Wood,MDF,Plastic,MDF,,
Which color is not standard for official balls?,Orange,White,Black,White,Black,,
Who is a famous German table tennis player?,Ma Long,Jan-Ove Waldner,Timo Boll,Liu Guoliang,Timo Boll,,
How many games are in a professional match?,3,5,7,11,7,,
What is a spin shot?,Power shot,Curved motion,Bounce serve,Backhand flick,Curved motion,,
Who won the men’s singles at Tokyo 2020?,Ma Long,Fan Zhendong,Hugo Calderano,Dimitrij Ovtcharov,Ma Long,,
What is the minimum ceiling height for matches?,2m,3m,5m,7m,5m,,
What happens if player touches the table?,Point lost,Warning,Restart,Let,Point lost,,
Which country hosted 2023 World Table Tennis Finals?,China,Qatar,Germany,Japan,South Africa,,
What is the legal height of the table?,60cm,65cm,76cm,90cm,76cm,,
Who is known for the penhold grip style?,Timo Boll,Ma Lin,Truls Moregard,Kanak Jha,Ma Lin,,
What is “chop” in table tennis?,Fast spin,Under spin,Topspin,Flick,Under spin,,
What type of rubber gives maximum spin?,Anti-spin,Smooth,Pips-out,Short pips,Smooth,,
How long is a table tennis table?,1.75m,2.24m,2.74m,3.1m,2.74m,,
Who won gold in women’s singles Tokyo 2020?,Ding Ning,Chen Meng,Mima Ito,Sun Yingsha,Chen Meng,,
What is a “block” in table tennis?,Power shot,Return of smash,Soft spin,Serve style,Return of smash,,
How many points are required to win a set?,10,11,12,15,11,,
What does ITTF stand for?,Int'l Tennis Table Federation,International Table Tennis Federation,Int'l Table Ten Federation,Int'l Top Tennis Forum,International Table Tennis Federation,,
Which table color is used in international events?,Red,Green,Blue,Black,Blue,,
"Who was nicknamed ""The Mozart of Table Tennis""?",Wang Liqin,Zhang Jike,Jan-Ove Waldner,Dima Ovtcharov,Jan-Ove Waldner,,
Who is the youngest Olympic table tennis medalist?,Tomokazu Harimoto,Sun Yingsha,Fan Zhendong,Ma Long,Tomokazu Harimoto,,
Which grip resembles holding a pen?,Shakehand,Backhand,Penhold,Forehand,Penhold,,
Which grip is more common in Europe?,Penhold,Forehand,Shakehand,Backhand,Shakehand,,
What is a fault in table tennis?,Good serve,Net bounce,Illegal serve,Side shot,Illegal serve,,
What equipment is essential in table tennis?,Racquet,Ball,Net,All of the above,All of the above,,
What’s the weight of a standard ball?,1.5g,2.0g,2.7g,3.2g,2.7g,,
What’s a rally point?,A type of serve,Each point won,Rapid fire,Spin point,Each point won,,
Which stroke is most offensive?,Chop,Block,Lob,Smash,Smash,,
Who invented table tennis?,British army,English players,Germans,Chinese,English players,,
When was table tennis added to the Olympics?,1984,1988,1992,2000,1988,,
What happens at 10-10 in a game?,Deuce,Replay,Timeout,Change sides,Deuce,,
What is a “lob” in table tennis?,Fast shot,High return shot,Smash,Short serve,High return shot,,
Who is the women's world number one (2023)?,Mima Ito,Chen Meng,Wang Manyu,Sun Yingsha,Sun Yingsha,,
What is the purpose of side tape on paddles?,Decoration,Weight,Grip,Protection,Protection,,
Which type of rubber has short pimples?,Smooth,Pips-out,Anti-spin,Long pips,Pips-out,,
What’s the role of a coach in matches?,Score tracking,Encouragement,Tactical advice,Serve judge,Tactical advice,,
What is the net height in table tennis?,10cm,12cm,15cm,18cm,15cm,,
What is a “dead ball”?,Heavy spin,No spin,Fault serve,Flick,No spin,,
Which country is Truls Moregard from?,France,Sweden,Germany,Norway,Sweden,,
What is a “flick”?,Fast serve,Quick spin,Short aggressive shot,Underhand return,Short aggressive shot,,
What do players do at 5 points in last game?,Shake hands,Switch ends,Take timeout,Serve switch,Switch ends,,
What is a “push” stroke?,Topspin return,Lob shot,Under spin shot,Flick return,Under spin shot,,
Which rule applies in doubles?,Serve anywhere,Diagonal serve,Alternate ends,No serve rules,Diagonal serve,,
What is a “rally” in doubles?,1 player plays,Both attack,Alternating hits by partners,No change,Alternating hits by partners,,
What’s a “net” serve?,Legal retake serve,Point loss,Error serve,Spin serve,Legal retake serve,,
What is the effect of topspin?,Drops ball,Slows ball,Raises ball,Speeds up and dips,Speeds up and dips,,
Which part of paddle contacts the ball?,Handle,Blade,Grip,Rubber,Rubber,,
What’s a timeout duration?,30 sec,45 sec,60 sec,90 sec,60 sec,,
What is required to win a match?,1 game,2 sets,3+ games,All points,3+ games,,
Which stroke is the fastest in competitive swimming?,Backstroke,Breaststroke,Butterfly,Freestyle,Freestyle,,
What is the length of an Olympic swimming pool?,25 meters,33.3 meters,50 meters,100 meters,50 meters,,
Who holds the most Olympic gold medals in swimming?,Ryan Lochte,Mark Spitz,Caeleb Dressel,Michael Phelps,Michael Phelps,,
What stroke requires swimmers to stay on their back?,Butterfly,Freestyle,Breaststroke,Backstroke,Backstroke,,
What is the name of the kick used in breaststroke?,Flutter kick,Dolphin kick,Scissor kick,Frog kick,Frog kick,,
How many strokes are in individual medley?,2,3,4,5,4,,
Which stroke uses the dolphin kick?,Freestyle,Butterfly,Breaststroke,Backstroke,Butterfly,,
What is a swimmer's turn called at the wall?,Wall crash,Flip turn,Wall push,Turnover,Flip turn,,
What is the first stroke in the medley relay?,Freestyle,Butterfly,Breaststroke,Backstroke,Backstroke,,
What is the last stroke in individual medley?,Butterfly,Breaststroke,Freestyle,Backstroke,Freestyle,,
Which country has the most Olympic swimming medals?,China,USA,Australia,Russia,USA,,
What device helps swimmers float during drills?,Paddle,Pull buoy,Fins,Kickboard,Kickboard,,
What does FINA stand for?,Federation of International Natation Association,Federation Internationale de Natation,Federation of National Aquatics,Federation of Natation Athletes,Federation Internationale de Natation,,
What does DQ mean in swimming?,Disqualified,Double Quick,Delayed Qualifier,Direct Qualification,Disqualified,,
Which stroke starts from the water?,Butterfly,Backstroke,Breaststroke,Freestyle,Backstroke,,
How many lanes in an Olympic pool?,6,7,8,10,8,,
What is tapering in swimming?,Eating before race,Final warmup,Decreasing training before competition,Jumping into pool,Decreasing training before competition,,
Who won 8 golds in one Olympics?,Ian Thorpe,Mark Spitz,Michael Phelps,Sun Yang,Michael Phelps,,
What’s the slowest swimming stroke?,Freestyle,Butterfly,Backstroke,Breaststroke,Breaststroke,,
What is the legal distance for underwater dolphin kicks?,5m,10m,15m,20m,15m,,
What is a negative split?,Slower second half,Faster second half,Equal halves,No split,Faster second half,,
What is a heat in swimming?,A warm pool,Practice session,Group race in same event,A disqualified event,Group race in same event,,
Who is a famous Australian swimmer?,Adam Peaty,Katie Ledecky,Ian Thorpe,Ryan Lochte,Ian Thorpe,,
What tool increases resistance on hands?,Fins,Kickboard,Pull buoy,Paddles,Paddles,,
Which stroke is often used for lifesaving?,Freestyle,Butterfly,Backstroke,Side stroke,Side stroke,,
What is the ideal turn for freestyle?,Open turn,Flip turn,Roll turn,Back turn,Flip turn,,
